n_doi,scp_item_type,wos_item_type,first_pubyear,pubyear,scp_year
6,"{""Short Survey""}",{Article},2019,2019,2019
6,"{""Short Survey""}",{Biographical-Item},2019,2019,2019
6,"{""Short Survey""}","{""Editorial Material"",""Early Access""}",2023,2023,2022
6,"{""Short Survey""}","{Review,""Early Access""}",2023,2023,2023
6,{Tombstone},"{""Editorial Material""}",2019,2019,2019
6,{Tombstone},"{Review,""Retracted Publication""}",2020,2020,2020
6,NA,"{""Film Review"",""Early Access""}",NA,NA,2020
6,NA,"{""News Item"",""Early Access""}",NA,NA,2020
6,NA,"{""Record Review""}",NA,NA,2023
5,"{""Conference Paper""}",{Letter},2021,2021,2021
5,{Editorial},"{""Editorial Material""}",2022,2022,2020
5,{Erratum},"{""Editorial Material"",""Early Access""}",2021,2021,2021
5,{Erratum},"{""Item Withdrawal""}",2021,2021,2021
5,{Erratum},"{""Item Withdrawal""}",2023,2023,2023
5,{Erratum},{Retraction},2021,2021,2022
5,{Letter},"{""Editorial Material""}",2021,2021,2022
5,{Letter},"{Letter,""Early Access""}",2023,2023,2020
5,{Note},"{""Editorial Material""}",2019,2020,2020
5,{Note},"{""Editorial Material""}",2023,2023,2021
5,{Note},"{""Editorial Material"",""Early Access""}",2021,2024,2021
5,{Note},"{""Fiction, Creative Prose""}",2022,2022,2022
5,{Note},{Letter},2023,2023,2022
5,{Note},{Review},2020,2020,2020
5,{Note},"{Review,""Early Access""}",2022,2022,2022
5,{Note},"{""Theater Review""}",2019,2019,2019
5,"{""Short Survey""}","{""News Item"",""Early Access""}",2023,2023,2023
5,{Tombstone},"{""Editorial Material""}",2021,2021,2021
5,{Tombstone},"{Letter,""Retracted Publication""}",2020,2020,2020
5,NA,"{""Expression of Concern""}",NA,NA,2020
5,NA,"{""Music Performance Review""}",NA,NA,2021
5,NA,{Retraction},NA,NA,2023
4,{Article},{Biographical-Item},2019,2019,2019
4,{Article},{Biographical-Item},2021,2021,2021
4,{Article},"{""Editorial Material""}",2018,2018,2019
4,{Article},"{""Editorial Material""}",2023,2023,2023
4,{Article},"{""Editorial Material"",""Early Access""}",2024,2024,2023
4,"{""Conference Paper""}",{Article},2021,2021,2021
4,"{""Conference Paper""}","{""Editorial Material""}",2021,2021,2020
4,"{""Conference Paper""}","{""Editorial Material"",""Early Access""}",2022,2022,2022
4,"{""Conference Paper""}",{Letter},2022,2022,2022
4,"{""Conference Paper""}",NA,2022,2024,NA
4,{Editorial},"{""Book Review""}",2020,2020,2020
4,{Editorial},"{""Editorial Material""}",2019,2019,2018
4,{Editorial},"{""Editorial Material""}",2022,2023,2023
4,{Editorial},"{Letter,""Early Access""}",2023,2023,2022
4,{Editorial},{Poetry},2021,2021,2021
4,{Editorial},{Reprint},2019,2019,2019
4,{Editorial},NA,2018,2018,NA
4,{Erratum},{Correction},2018,2018,2018
4,{Erratum},{Correction},2019,2020,2020
4,{Erratum},"{Correction,""Early Access""}",2019,2024,2019
4,{Erratum},"{Correction,""Early Access""}",2021,2021,2020
4,{Erratum},"{Correction,""Early Access""}",2022,2022,2020
4,{Erratum},"{Correction,""Early Access""}",2022,2022,2023
4,{Erratum},"{""Expression of Concern"",""Early Access""}",2023,2023,2022
4,{Erratum},"{""Item Withdrawal""}",2020,2020,2020
4,{Erratum},"{Retraction,""Early Access""}",2019,2019,2019
4,{Erratum},NA,2019,2024,NA
4,{Erratum},NA,2020,2023,NA
4,{Letter},"{""Editorial Material""}",2023,2023,2022
4,{Letter},"{""Editorial Material"",""Early Access""}",2021,2021,2021
4,{Note},"{""Art Exhibit Review""}",2020,2020,2020
4,{Note},"{""Book Review"",""Early Access""}",2023,2023,2022
4,{Note},"{""Book Review"",""Early Access""}",2023,2023,2023
4,{Note},"{""CC Meeting Heading""}",2021,2021,2021
4,{Note},"{""Editorial Material""}",2021,2022,2022
4,{Review},"{""Book Review""}",2012,2012,2021
4,{Review},"{Review,""Early Access""}",2024,2024,2022
4,{Review},"{Review,""Early Access""}",2024,2024,2023
4,"{""Short Survey""}","{""Editorial Material""}",2019,2019,2020
4,"{""Short Survey""}","{""Editorial Material""}",2022,2022,2023
4,{Tombstone},{Correction},2019,2019,2019
4,{Tombstone},"{""Editorial Material""}",2020,2020,2020
4,{Tombstone},"{""Editorial Material"",""Retracted Publication""}",2019,2019,2019
4,{Tombstone},"{""Item Withdrawal""}",2022,2022,2022
4,{Tombstone},{Review},2023,2023,2023
4,{Tombstone},"{Review,""Retracted Publication""}",2019,2019,2019
4,NA,"{""Expression of Concern""}",NA,NA,2022
4,NA,"{""Expression of Concern"",""Early Access""}",NA,NA,2022
4,NA,"{""Fiction, Creative Prose""}",NA,NA,2019
4,NA,"{""Item Withdrawal""}",NA,NA,2022
4,NA,"{Letter,""Early Access""}",NA,NA,2019
4,NA,{Poetry},NA,NA,2023
4,NA,"{""Record Review"",""Early Access""}",NA,NA,2022
4,NA,"{Retraction,""Early Access""}",NA,NA,2020
4,NA,"{Review,""Early Access""}",NA,NA,2019
3,{Article},"{Article,""Proceedings Paper""}",2018,2018,2018
3,{Article},"{""Editorial Material""}",2018,2018,2018
3,{Article},"{""Editorial Material"",""Early Access""}",2023,2023,2021
3,{Article},"{""News Item""}",2023,2023,2023
3,{Article},NA,1999,1999,NA
3,{Article},NA,2018,2018,NA
3,{Chapter},"{""Editorial Material""}",2022,2022,2020
3,{Chapter},"{Review,""Early Access""}",2023,2023,2022
3,"{""Conference Paper""}",{Article},2022,2022,2022
3,"{""Conference Paper""}",{Article},2023,2023,2023
3,"{""Conference Paper""}","{""CC Meeting Heading""}",2021,2021,2021
3,"{""Conference Paper""}","{""Editorial Material""}",2021,2021,2022
3,"{""Conference Paper""}","{""Editorial Material"",""Early Access""}",2020,2020,2020
3,"{""Conference Paper""}","{Review,""Early Access""}",2023,2023,2023
3,{Editorial},"{Biographical-Item,""Early Access""}",2022,2022,2022
3,{Editorial},"{""Book Review""}",2019,2019,2019
3,{Editorial},"{""Book Review""}",2021,2021,2021
3,{Editorial},"{""Book Review""}",2022,2022,2022
3,{Editorial},"{""Editorial Material""}",2018,2018,2020
3,{Editorial},"{""Editorial Material""}",2023,2023,2020
3,{Editorial},"{""Editorial Material"",""Early Access""}",2022,2022,2020
3,{Editorial},"{""News Item""}",2021,2021,2021
3,{Editorial},"{""News Item""}",2023,2023,2023
3,{Editorial},{Poetry},2023,2023,2023
3,{Editorial},{Retraction},2019,2019,2019
3,{Editorial},{Review},2020,2020,2020
3,{Editorial},NA,2023,2022,NA
3,{Erratum},{Correction},2019,2019,2018
3,{Erratum},{Correction},2021,2022,2022
3,{Erratum},{Correction},2023,2023,2021
3,{Erratum},"{Correction,""Early Access""}",2020,2020,2019
3,{Erratum},"{Correction,""Early Access""}",2020,2020,2021
3,{Erratum},"{""Editorial Material""}",2023,2023,2023
3,{Erratum},"{""Editorial Material"",""Early Access""}",2020,2020,2020
3,{Erratum},"{""Editorial Material"",""Early Access""}",2022,2022,2022
3,{Erratum},"{""Expression of Concern"",""Early Access""}",2022,2022,2022
3,{Erratum},{Letter},2022,2022,2022
3,{Erratum},{Letter},2023,2023,2023
3,{Erratum},{Retraction},2020,2020,2021
3,{Erratum},{Retraction},2022,2022,2023
3,{Erratum},NA,2022,2024,NA
3,{Letter},"{""Editorial Material"",""Early Access""}",2023,2023,2021
3,{Letter},{Letter},2020,2019,2019
3,{Letter},{Letter},2023,2023,2021
3,{Letter},"{Letter,""Early Access""}",2024,2024,2023
3,{Letter},NA,2022,2023,NA
3,{Letter},NA,2023,2022,NA
3,{Note},{Bibliography},2020,2020,2020
3,{Note},"{""Book Review""}",2022,2022,2023
3,{Note},"{""Book Review"",""Early Access""}",2022,2022,2022
3,{Note},"{""Editorial Material""}",2020,2020,2022
3,{Note},"{""Editorial Material""}",2022,2022,2019
3,{Note},"{""Editorial Material""}",2023,2023,2020
3,{Note},"{""Editorial Material"",""Early Access""}",2024,2024,2022
3,{Note},"{""Expression of Concern""}",2020,2020,2020
3,{Note},"{""Expression of Concern""}",2023,2023,2023
3,{Note},{Letter},2019,2019,2020
3,{Note},{Letter},2020,2020,2021
3,{Note},"{Letter,""Early Access""}",2022,2022,2022
3,{Note},"{Letter,""Early Access""}",2023,2023,2021
3,{Note},"{""Meeting Abstract""}",2022,2022,2022
3,{Note},"{""News Item""}",2020,2020,2021
3,{Note},"{""News Item"",""Early Access""}",2019,2019,2019
3,{Note},"{""News Item"",""Early Access""}",2020,2020,2020
3,{Note},{Poetry},2023,2023,2023
3,{Note},"{Poetry,""Early Access""}",2022,2022,2022
3,{Note},{Reprint},2019,2019,2019
3,{Note},{Reprint},2020,2020,2020
3,{Note},"{Review,""Early Access""}",2021,2021,2021
3,{Note},NA,2023,2022,NA
3,{Note},NA,2024,2023,NA
3,{Review},"{""Editorial Material""}",2019,2019,2019
3,"{""Short Survey""}","{""Editorial Material"",""Early Access""}",2023,2023,2021
3,"{""Short Survey""}",{Letter},2021,2021,2020
3,"{""Short Survey""}","{""News Item""}",2023,2023,2023
3,"{""Short Survey""}","{""Record Review""}",2019,2019,2019
3,"{""Short Survey""}",{Review},2021,2021,2021
3,"{""Short Survey""}",{Review},2022,2022,2022
3,"{""Short Survey""}","{Review,""Early Access""}",2023,2023,2022
3,{Tombstone},{Correction},2020,2020,2020
3,{Tombstone},{Letter},2022,2022,2022
3,NA,"{""Art Exhibit Review"",""Early Access""}",NA,NA,2019
3,NA,"{Article,""Early Access""}",NA,NA,2022
3,NA,"{Biographical-Item,""Early Access""}",NA,NA,2019
3,NA,"{Letter,""Early Access""}",NA,NA,2020
3,NA,"{""Music Score Review""}",NA,NA,2020
3,NA,"{Retraction,""Early Access""}",NA,NA,2023
3,NA,"{""TV Review, Radio Review""}",NA,NA,2019
2,{Article},{Correction},2022,2022,2022
2,{Article},"{""Editorial Material""}",2020,2020,2021
2,{Article},"{""Editorial Material"",""Early Access""}",2022,2023,2022
2,{Article},"{""Editorial Material"",""Early Access""}",2023,2023,2022
2,{Article},"{""Editorial Material"",""Early Access""}",2024,2024,2021
2,{Article},"{""Editorial Material"",""Early Access""}",2024,2024,2022
2,{Article},{Letter},2020,2020,2020
2,{Article},"{Letter,""Early Access""}",2023,2023,2022
2,{Article},"{""Meeting Abstract""}",2021,2021,2019
2,{Article},NA,1997,1997,NA
2,{Article},NA,2015,2015,NA
2,{Article},NA,2023,2024,NA
2,{Chapter},"{""Editorial Material""}",2019,2019,2019
2,{Chapter},"{""Editorial Material""}",2022,2022,2019
2,"{""Conference Paper""}",{Article},2020,2020,2020
2,"{""Conference Paper""}","{Article,""Proceedings Paper""}",2021,2021,2021
2,"{""Conference Paper""}",{Biographical-Item},2019,2019,2019
2,"{""Conference Paper""}","{""Book Review""}",2021,2021,2021
2,"{""Conference Paper""}","{""Book Review""}",2023,2023,2023
2,"{""Conference Paper""}","{""CC Meeting Heading""}",2020,2020,2020
2,"{""Conference Paper""}","{""CC Meeting Heading""}",2022,2022,2022
2,"{""Conference Paper""}","{""Meeting Abstract""}",2019,2019,2019
2,"{""Conference Paper""}","{Review,""Early Access""}",2020,2020,2020
2,"{""Conference Paper""}","{Review,""Early Access""}",2022,2022,2022
2,{Editorial},{Bibliography},2022,2022,2022
2,{Editorial},"{""Editorial Material""}",2020,2020,2023
2,{Editorial},"{""Editorial Material""}",2020,2021,2021
2,{Editorial},"{""Editorial Material""}",2021,2022,2022
2,{Editorial},"{""Editorial Material"",""Book Chapter""}",2019,2019,2019
2,{Editorial},"{""Editorial Material"",""Book Chapter""}",2020,2020,2020
2,{Editorial},"{""Editorial Material"",""Early Access""}",2020,2020,2021
2,{Editorial},"{""Editorial Material"",""Early Access""}",2020,2023,2020
2,{Editorial},"{""Editorial Material"",""Early Access""}",2020,2024,2020
2,{Editorial},"{""Editorial Material"",""Early Access""}",2021,2022,2021
2,{Editorial},"{""Editorial Material"",""Early Access""}",2023,2023,2020
2,{Editorial},"{""Editorial Material"",""Early Access""}",2024,2024,2022
2,{Editorial},"{""Editorial Material"",""Early Access""}",2024,2024,2023
2,{Editorial},"{""Editorial Material"",""Retracted Publication""}",2020,2020,2020
2,{Editorial},"{""Expression of Concern""}",2019,2019,2019
2,{Editorial},{Reprint},2022,2022,2022
2,{Editorial},"{Review,""Early Access""}",2022,2022,2022
2,{Editorial},NA,2008,2008,NA
2,{Erratum},"{""Book Review""}",2021,2021,2021
2,{Erratum},"{Correction,""Book Chapter""}",2020,2020,2020
2,{Erratum},"{Correction,""Early Access""}",2021,2021,2019
2,{Erratum},"{Correction,""Early Access""}",2021,2021,2022
2,{Erratum},"{Correction,""Retracted Publication""}",2022,2022,2022
2,{Erratum},"{""Editorial Material""}",2021,2021,2022
2,{Erratum},"{""Item Withdrawal"",""Early Access""}",2023,2023,2022
2,{Erratum},{Retraction},2022,2022,2020
2,{Erratum},"{Retraction,""Early Access""}",2021,2024,2021
2,{Erratum},"{Retraction,""Early Access""}",2022,2022,2021
2,{Erratum},"{Retraction,""Early Access""}",2022,2022,2023
2,{Erratum},"{Retraction,""Early Access""}",2024,2024,2021
2,{Erratum},"{Retraction,""Early Access""}",2024,2024,2023
2,{Erratum},"{Retraction,""Retracted Publication""}",2020,2020,2020
2,{Erratum},NA,2021,2024,NA
2,{Erratum},NA,2022,2023,NA
2,{Letter},{Article},2022,2022,2023
2,{Letter},"{""CC Meeting Heading""}",2020,2020,2020
2,{Letter},"{""Editorial Material""}",2019,2019,2020
2,{Letter},"{""Editorial Material""}",2020,2020,2021
2,{Letter},"{""Editorial Material"",""Early Access""}",2022,2023,2022
2,{Letter},{Letter},2022,2023,2023
2,{Letter},"{Letter,""Early Access""}",2001,2001,2019
2,{Letter},"{Letter,""Early Access""}",2020,2023,2021
2,{Letter},"{Letter,""Early Access""}",2021,2024,2021
2,{Letter},"{""Proceedings Paper""}",2020,2020,2020
2,{Letter},"{Review,""Early Access""}",2023,2023,2023
2,{Letter},NA,2020,2023,NA
2,{Note},"{""Art Exhibit Review""}",2023,2023,2023
2,{Note},{Article},2019,2019,2018
2,{Note},"{Article,""Early Access""}",2021,2021,2021
2,{Note},"{Article,""Early Access""}",2023,2023,2021
2,{Note},{Bibliography},2021,2021,2021
2,{Note},"{Biographical-Item,""Early Access""}",2022,2022,2022
2,{Note},"{""Book Review"",""Early Access""}",2020,2020,2020
2,{Note},"{""Book Review"",""Early Access""}",2021,2021,2021
2,{Note},"{""Book Review"",""Early Access""}",2023,2023,2021
2,{Note},"{Correction,""Early Access""}",2021,2021,2021
2,{Note},"{""Editorial Material""}",2008,2008,2020
2,{Note},"{""Editorial Material""}",2018,2018,2019
2,{Note},"{""Editorial Material""}",2022,2023,2023
2,{Note},"{""Editorial Material"",""Book Chapter""}",2020,2020,2020
2,{Note},"{""Editorial Material"",""Early Access""}",2020,2023,2020
2,{Note},"{""Editorial Material"",""Early Access""}",2020,2024,2020
2,{Note},"{""Editorial Material"",""Early Access""}",2024,2024,2021
2,{Note},"{""Expression of Concern""}",2019,2019,2019
2,{Note},"{""Fiction, Creative Prose""}",2021,2021,2021
2,{Note},"{""Film Review""}",2021,2021,2021
2,{Note},"{""Film Review""}",2022,2022,2022
2,{Note},{Letter},2021,2021,2020
2,{Note},{Letter},2021,2021,2022
2,{Note},"{Letter,""Early Access""}",2021,2021,2021
2,{Note},"{""Meeting Abstract""}",2021,2021,2021
2,{Note},"{""Music Performance Review""}",2019,2019,2019
2,{Note},"{""News Item""}",2020,2020,2019
2,{Note},"{""News Item""}",2022,2022,2023
2,{Note},{Review},2022,2022,2022
2,{Note},"{Review,""Early Access""}",2020,2020,2020
2,{Note},"{Review,""Early Access""}",2023,2023,2022
2,{Note},"{""Software Review""}",2020,2020,2020
2,{Note},"{""Theater Review""}",2020,2020,2020
2,{Note},"{""Theater Review""}",2021,2021,2021
2,{Review},{Article},2008,2008,2008
2,{Review},{Article},2016,2016,2016
2,{Review},{Article},2017,2017,2017
2,{Review},{Article},2018,2018,2018
2,{Review},"{""Editorial Material""}",2021,2021,2021
2,{Review},NA,2018,2018,NA
2,{Review},NA,2020,2020,NA
2,"{""Short Survey""}","{""Editorial Material""}",2023,2023,2022
2,"{""Short Survey""}","{""Editorial Material"",""Early Access""}",2021,2021,2021
2,"{""Short Survey""}","{""Music Performance Review""}",2019,2019,2019
2,"{""Short Survey""}",{Reprint},2022,2022,2022
2,"{""Short Survey""}",{Review},2023,2023,2023
2,{Tombstone},{Article},2020,2020,2020
2,{Tombstone},{Correction},2021,2021,2021
2,{Tombstone},{Correction},2022,2022,2022
2,{Tombstone},"{Correction,""Retracted Publication""}",2021,2021,2021
2,{Tombstone},"{""Editorial Material""}",2023,2023,2023
2,{Tombstone},"{""Expression of Concern""}",2020,2020,2020
2,{Tombstone},"{""Item Withdrawal""}",2021,2021,2021
2,{Tombstone},"{Retraction,""Retracted Publication""}",2021,2021,2021
2,NA,"{""Art Exhibit Review""}",NA,NA,2023
2,NA,"{""Art Exhibit Review"",""Early Access""}",NA,NA,2023
2,NA,"{""Book Review""}",NA,NA,2016
2,NA,"{""CC Meeting Heading"",""Early Access""}",NA,NA,2019
2,NA,"{""CC Meeting Heading"",""Early Access""}",NA,NA,2023
2,NA,"{Correction,""Early Access""}",NA,NA,2019
2,NA,"{""Fiction, Creative Prose""}",NA,NA,2020
2,NA,"{""Fiction, Creative Prose""}",NA,NA,2021
2,NA,"{""Film Review"",""Early Access""}",NA,NA,2022
2,NA,"{Letter,""Early Access""}",NA,NA,2021
2,NA,"{""News Item"",""Early Access""}",NA,NA,2019
2,NA,"{""Record Review"",""Early Access""}",NA,NA,2021
2,NA,"{""Theater Review""}",NA,NA,2020
2,NA,"{""TV Review, Radio Review"",""Early Access""}",NA,NA,2022
1,{Article},"{Article,""Proceedings Paper""}",2008,2008,2008
1,{Article},"{Article,""Proceedings Paper""}",2016,2016,2016
1,{Article},{Biographical-Item},2023,2023,2023
1,{Article},"{""CC Meeting Heading""}",2021,2021,2021
1,{Article},{Correction},2020,2020,2020
1,{Article},"{""Editorial Material""}",2015,2015,2015
1,{Article},"{""Editorial Material""}",2018,2018,2020
1,{Article},"{""Editorial Material""}",2020,2022,2022
1,{Article},"{""Editorial Material""}",2021,2021,2020
1,{Article},"{""Editorial Material"",""Early Access""}",2023,2023,2023
1,{Article},"{""Editorial Material"",""Early Access""}",2024,2024,2019
1,{Article},{Letter},2018,2018,2019
1,{Article},{Letter},2022,2022,2022
1,{Article},"{Letter,""Early Access""}",2023,2023,2023
1,{Article},"{""Meeting Abstract""}",2020,2020,2019
1,{Article},"{""Meeting Abstract""}",2022,2022,2019
1,{Article},"{""News Item""}",2018,2018,2019
1,{Article},"{Review,""Early Access""}",2024,2024,2022
1,{Article},"{Review,""Early Access""}",2024,2024,2023
1,{Article},NA,1996,1996,NA
1,{Article},NA,1998,1998,NA
1,{Article},NA,2004,2004,NA
1,{Article},NA,2014,2014,NA
1,{Article},NA,2017,2017,NA
1,{Article},NA,2022,2023,NA
1,{Book},"{""Book Review""}",2018,2018,2019
1,{Book},"{""Book Review""}",2018,2018,2020
1,{Book},"{""Book Review""}",2019,2019,2021
1,{Book},"{""Book Review""}",2019,2019,2022
1,{Book},"{""Book Review""}",2021,2021,2022
1,{Book},NA,2018,2018,NA
1,{Chapter},{Biographical-Item},2022,2022,2020
1,{Chapter},"{""Editorial Material""}",2021,2021,2021
1,{Chapter},"{""Editorial Material""}",2023,2023,2019
1,{Chapter},"{""Editorial Material""}",2023,2023,2023
1,{Chapter},NA,2023,2023,NA
1,"{""Conference Paper""}",{Article},2017,2017,2017
1,"{""Conference Paper""}",{Article},2019,2019,2019
1,"{""Conference Paper""}","{Article,""Early Access""}",2022,2022,2022
1,"{""Conference Paper""}","{Article,""Proceedings Paper""}",2022,2022,2022
1,"{""Conference Paper""}",{Biographical-Item},2023,2023,2023
1,"{""Conference Paper""}","{""Book Review"",""Early Access""}",2024,2024,2021
1,"{""Conference Paper""}",{Correction},2022,2022,2022
1,"{""Conference Paper""}","{Correction,""Early Access""}",2021,2021,2021
1,"{""Conference Paper""}","{""Editorial Material""}",2018,2018,2019
1,"{""Conference Paper""}","{""Editorial Material""}",2020,2020,2019
1,"{""Conference Paper""}","{""Editorial Material""}",2023,2023,2022
1,"{""Conference Paper""}","{""Editorial Material"",""Early Access""}",2019,2019,2019
1,"{""Conference Paper""}","{""Editorial Material"",""Early Access""}",2022,2022,2023
1,"{""Conference Paper""}","{""Editorial Material"",""Early Access""}",2023,2023,2019
1,"{""Conference Paper""}","{""Editorial Material"",""Early Access""}",2023,2023,2021
1,"{""Conference Paper""}","{Letter,""Early Access""}",2023,2023,2022
1,"{""Conference Paper""}","{""News Item""}",2023,2023,2023
1,"{""Conference Paper""}","{""News Item"",""Early Access""}",2021,2021,2021
1,"{""Conference Paper""}",NA,2024,2023,NA
1,"{""Data Paper""}","{""Editorial Material""}",2021,2021,2021
1,"{""Data Paper""}",NA,2023,2023,NA
1,"{""Data Paper""}",NA,2023,2024,NA
1,{Editorial},"{Article,""Early Access""}",2023,2023,2023
1,{Editorial},{Bibliography},2019,2019,2019
1,{Editorial},{Biographical-Item},2021,2021,2022
1,{Editorial},"{Biographical-Item,""Early Access""}",2020,2020,2020
1,{Editorial},"{""Book Review""}",2020,2020,2021
1,{Editorial},"{""Book Review"",""Early Access""}",2021,2021,2021
1,{Editorial},"{""CC Meeting Heading""}",2021,2021,2021
1,{Editorial},{Correction},2019,2019,2021
1,{Editorial},{Correction},2023,2023,2023
1,{Editorial},"{""Editorial Material""}",2009,2009,2019
1,{Editorial},"{""Editorial Material""}",2010,2010,2020
1,{Editorial},"{""Editorial Material""}",2011,2011,2019
1,{Editorial},"{""Editorial Material""}",2016,2016,2016
1,{Editorial},"{""Editorial Material""}",2017,2017,2020
1,{Editorial},"{""Editorial Material""}",2019,2019,2017
1,{Editorial},"{""Editorial Material""}",2019,2019,2021
1,{Editorial},"{""Editorial Material""}",2020,2020,2018
1,{Editorial},"{""Editorial Material""}",2021,2020,2021
1,{Editorial},"{""Editorial Material""}",2021,2021,2019
1,{Editorial},"{""Editorial Material""}",2022,2022,2019
1,{Editorial},"{""Editorial Material"",""Early Access""}",2019,2019,2020
1,{Editorial},"{""Editorial Material"",""Early Access""}",2020,2021,2020
1,{Editorial},"{""Editorial Material"",""Early Access""}",2022,2024,2023
1,{Editorial},"{""Expression of Concern""}",2020,2020,2020
1,{Editorial},"{""Expression of Concern""}",2021,2021,2021
1,{Editorial},"{""Expression of Concern""}",2022,2022,2022
1,{Editorial},"{""Expression of Concern""}",2023,2023,2023
1,{Editorial},{Letter},2020,2020,2022
1,{Editorial},{Letter},2021,2021,2020
1,{Editorial},"{Letter,""Early Access""}",2021,2021,2021
1,{Editorial},"{Letter,""Early Access""}",2023,2023,2021
1,{Editorial},"{""News Item""}",2022,2022,2023
1,{Editorial},"{""News Item""}",2023,2023,2022
1,{Editorial},{Reprint},2021,2021,2021
1,{Editorial},{Reprint},2023,2023,2023
1,{Editorial},{Retraction},2020,2020,2020
1,{Editorial},{Review},2022,2022,2022
1,{Editorial},"{Review,""Early Access""}",2021,2021,2021
1,{Editorial},"{""Theater Review""}",2020,2020,2020
1,{Editorial},NA,2019,2020,NA
1,{Editorial},NA,2024,2022,NA
1,{Erratum},{Article},2021,2021,2021
1,{Erratum},{Article},2022,2022,2022
1,{Erratum},{Biographical-Item},2020,2020,2020
1,{Erratum},"{""Book Review""}",2020,2020,2020
1,{Erratum},{Correction},2015,2015,2015
1,{Erratum},{Correction},2018,2018,2019
1,{Erratum},{Correction},2020,2020,2015
1,{Erratum},{Correction},2020,2020,2022
1,{Erratum},{Correction},2022,2022,2019
1,{Erratum},{Correction},2022,2024,2021
1,{Erratum},"{Correction,""Book Chapter""}",2021,2021,2021
1,{Erratum},"{Correction,""Early Access""}",2016,2016,2021
1,{Erratum},"{Correction,""Early Access""}",2022,2024,2023
1,{Erratum},"{Correction,""Early Access""}",2023,2023,2019
1,{Erratum},"{Correction,""Early Access""}",2024,2024,2021
1,{Erratum},"{""Editorial Material""}",2019,2019,2018
1,{Erratum},"{""Editorial Material"",""Early Access""}",2023,2023,2021
1,{Erratum},"{""Editorial Material"",""Early Access""}",2023,2023,2022
1,{Erratum},"{""Editorial Material"",""Early Access""}",2023,2023,2023
1,{Erratum},"{""Expression of Concern"",""Early Access""}",2021,2021,2021
1,{Erratum},"{""Expression of Concern"",""Early Access""}",2024,2024,2022
1,{Erratum},"{""Item Withdrawal"",""Early Access""}",2022,2022,2022
1,{Erratum},"{""Item Withdrawal"",""Early Access""}",2023,2023,2023
1,{Erratum},"{""Item Withdrawal"",""Early Access""}",2024,2024,2022
1,{Erratum},"{""Item Withdrawal"",""Early Access""}",2024,2024,2023
1,{Erratum},"{Letter,""Early Access""}",2020,2020,2020
1,{Erratum},"{Letter,""Early Access""}",2023,2023,2020
1,{Erratum},{Retraction},2019,2019,2020
1,{Erratum},{Retraction},2021,2021,2023
1,{Erratum},{Retraction},2022,2022,2019
1,{Erratum},"{Retraction,""Early Access""}",2022,2024,2022
1,{Erratum},"{Retraction,""Early Access""}",2023,2023,2020
1,{Erratum},"{Retraction,""Early Access""}",2023,2024,2023
1,{Erratum},"{Retraction,""Early Access""}",2024,2024,2019
1,{Erratum},"{Retraction,""Early Access""}",2024,2024,2020
1,{Erratum},"{Retraction,""Early Access""}",2024,2024,2022
1,{Erratum},"{Retraction,""Retracted Publication""}",2021,2021,2021
1,{Erratum},"{Retraction,""Retracted Publication""}",2023,2023,2022
1,{Erratum},{Review},2020,2020,2020
1,{Erratum},{Review},2021,2021,2021
1,{Erratum},{Review},2022,2022,2022
1,{Erratum},{Review},2023,2023,2023
1,{Erratum},NA,2018,2018,NA
1,{Erratum},NA,2020,2024,NA
1,{Letter},"{Article,""Early Access""}",2022,2022,2021
1,{Letter},"{Article,""Early Access""}",2022,2022,2023
1,{Letter},"{Article,""Early Access""}",2023,2023,2022
1,{Letter},"{Article,""Proceedings Paper""}",2020,2020,2020
1,{Letter},"{Article,""Proceedings Paper""}",2023,2023,2023
1,{Letter},{Biographical-Item},2020,2020,2021
1,{Letter},"{Correction,""Early Access""}",2021,2021,2021
1,{Letter},"{Correction,""Early Access""}",2023,2023,2021
1,{Letter},"{Correction,""Early Access""}",2023,2023,2023
1,{Letter},"{""Editorial Material""}",2019,2019,2021
1,{Letter},"{""Editorial Material""}",2022,2022,2020
1,{Letter},"{""Editorial Material""}",2022,2022,2023
1,{Letter},"{""Editorial Material""}",2023,2023,2020
1,{Letter},"{""Editorial Material"",""Early Access""}",2019,2019,2019
1,{Letter},"{""Editorial Material"",""Early Access""}",2020,2020,2020
1,{Letter},"{""Editorial Material"",""Early Access""}",2021,2023,2021
1,{Letter},"{""Editorial Material"",""Early Access""}",2023,2024,2023
1,{Letter},"{""Expression of Concern""}",2020,2020,2020
1,{Letter},{Letter},2006,2006,2006
1,{Letter},{Letter},2018,2018,2018
1,{Letter},{Letter},2021,2021,2019
1,{Letter},{Letter},2023,2023,2019
1,{Letter},{Letter},2024,2024,2023
1,{Letter},"{Letter,""Early Access""}",2019,2020,2019
1,{Letter},"{Letter,""Early Access""}",2020,2020,2021
1,{Letter},"{Letter,""Early Access""}",2020,2022,2021
1,{Letter},"{Letter,""Early Access""}",2021,2021,2019
1,{Letter},"{Letter,""Early Access""}",2021,2021,2022
1,{Letter},"{Letter,""Early Access""}",2022,2023,2021
1,{Letter},"{Letter,""Early Access""}",2024,2024,2022
1,{Letter},"{""Meeting Abstract""}",2021,2021,2022
1,{Letter},"{""News Item""}",2021,2021,2020
1,{Letter},"{""Proceedings Paper""}",2021,2021,2020
1,{Letter},{Retraction},2023,2023,2023
1,{Letter},{Review},2020,2020,2020
1,{Letter},NA,2017,2017,NA
