issn_l,cr_year,jn_all
0022-1201,2021,71
0022-1201,2022,55
0022-1201,2023,53
0022-1236,2019,233
0022-1236,2020,277
0022-1236,2021,300
0022-1236,2022,276
0022-1236,2023,272
0022-1309,2019,46
0022-1309,2020,31
0022-1309,2021,30
0022-1309,2022,12
0022-1309,2023,23
0022-1317,2019,171
0022-1317,2020,137
0022-1317,2021,193
0022-1317,2022,110
0022-1317,2023,116
0022-1325,2019,24
0022-1325,2020,37
0022-1325,2021,44
0022-1325,2022,47
0022-1325,2023,34
0022-1333,2019,117
0022-1333,2020,86
0022-1333,2021,90
0022-1333,2022,66
0022-1333,2023,45
0022-1341,2019,18
0022-1341,2020,29
0022-1341,2021,40
0022-1341,2022,14
0022-1341,2023,18
0022-1465,2019,35
0022-1465,2020,36
0022-1465,2021,53
0022-1465,2022,39
0022-1465,2023,47
0022-149X,2019,97
0022-149X,2020,103
0022-149X,2021,74
0022-149X,2022,90
0022-149X,2023,105
0022-1503,2019,71
0022-1503,2020,60
0022-1503,2021,79
0022-1503,2022,69
0022-1503,2023,88
0022-152X,2019,395
0022-152X,2020,345
0022-152X,2021,206
0022-152X,2022,178
0022-152X,2023,145
0022-1546,2019,39
0022-1546,2020,38
0022-1546,2021,46
0022-1546,2022,37
0022-1546,2023,52
0022-1554,2019,54
0022-1554,2020,65
0022-1554,2021,54
0022-1554,2022,37
0022-1554,2023,44
0022-1678,2019,62
0022-1678,2020,94
0022-1678,2021,91
0022-1678,2022,56
0022-1678,2023,67
0022-1686,2019,78
0022-1686,2020,70
0022-1686,2021,46
0022-1686,2022,68
0022-1686,2023,62
0022-1694,2019,1004
0022-1694,2020,1260
0022-1694,2021,1414
0022-1694,2022,1363
0022-1694,2023,1543
0022-1759,2019,135
0022-1759,2020,102
0022-1759,2021,158
0022-1759,2022,119
0022-1759,2023,108
0022-1791,2019,41
0022-1791,2020,36
0022-1791,2021,37
0022-1791,2022,34
0022-1791,2023,26
0022-1821,2019,17
0022-1821,2020,26
0022-1821,2021,29
0022-1821,2022,31
0022-1821,2023,65
0022-1856,2019,51
0022-1856,2020,52
0022-1856,2021,44
0022-1856,2022,39
0022-1856,2023,41
0022-1899,2019,561
0022-1899,2020,669
0022-1899,2021,513
0022-1899,2022,436
0022-1899,2023,482
0022-1910,2019,121
0022-1910,2020,93
0022-1910,2021,104
0022-1910,2022,77
0022-1910,2023,68
0022-1996,2019,80
0022-1996,2020,93
0022-1996,2021,96
0022-1996,2022,95
0022-1996,2023,101
0022-2011,2019,113
0022-2011,2020,137
0022-2011,2021,129
0022-2011,2022,86
0022-2011,2023,129
0022-202X,2019,552
0022-202X,2020,483
0022-202X,2021,613
0022-202X,2022,691
0022-202X,2023,572
0022-2151,2019,264
0022-2151,2020,255
0022-2151,2021,397
0022-2151,2022,324
0022-2151,2023,220
0022-216X,2019,128
0022-216X,2020,115
0022-216X,2021,93
0022-216X,2022,85
0022-216X,2023,90
0022-2194,2019,36
0022-2194,2020,48
0022-2194,2021,39
0022-2194,2022,29
0022-2194,2023,27
0022-2216,2019,48
0022-2216,2020,41
0022-2216,2021,39
0022-2216,2022,24
0022-2216,2023,69
0022-2267,2019,41
0022-2267,2020,57
0022-2267,2021,48
0022-2267,2022,56
0022-2267,2023,38
0022-2291,2019,169
0022-2291,2020,242
0022-2291,2021,98
0022-2291,2022,282
0022-2291,2023,91
0022-2313,2019,872
0022-2313,2020,761
0022-2313,2021,689
0022-2313,2022,861
0022-2313,2023,641
0022-2348,2019,70
0022-2348,2020,74
0022-2348,2021,58
0022-2348,2022,80
0022-2348,2023,96
0022-2372,2019,217
0022-2372,2020,156
0022-2372,2021,182
0022-2372,2022,129
0022-2372,2023,131
0022-2380,2019,52
0022-2380,2020,114
0022-2380,2021,98
0022-2380,2022,93
0022-2380,2023,115
0022-2429,2019,46
0022-2429,2020,71
0022-2429,2021,76
0022-2429,2022,42
0022-2429,2023,50
0022-2437,2019,64
0022-2437,2020,66
0022-2437,2021,62
0022-2437,2022,78
0022-2437,2023,75
0022-2445,2019,74
0022-2445,2020,106
0022-2445,2021,68
0022-2445,2022,78
0022-2445,2023,52
0022-2461,2019,1046
0022-2461,2020,1298
0022-2461,2021,974
0022-2461,2022,1447
0022-2461,2023,1183
0022-247X,2019,905
0022-247X,2020,832
0022-247X,2021,783
0022-247X,2022,864
0022-247X,2023,772
0022-2488,2019,471
0022-2488,2020,427
0022-2488,2021,462
0022-2488,2022,456
0022-2488,2023,447
0022-2496,2019,59
0022-2496,2020,76
0022-2496,2021,47
0022-2496,2022,33
0022-2496,2023,47
0022-250X,2019,15
0022-250X,2020,24
0022-250X,2021,17
0022-250X,2022,5
0022-250X,2023,8
0022-2526,2019,37
0022-2526,2020,55
0022-2526,2021,104
0022-2526,2022,70
0022-2526,2023,96
0022-2585,2019,261
0022-2585,2020,285
0022-2585,2021,227
0022-2585,2022,211
0022-2585,2023,168
0022-2593,2019,117
0022-2593,2020,178
0022-2593,2021,122
0022-2593,2022,116
0022-2593,2023,130
0022-2615,2019,224
0022-2615,2020,161
0022-2615,2021,197
0022-2615,2022,161
0022-2615,2023,150
0022-2623,2019,800
0022-2623,2020,899
0022-2623,2021,1120
0022-2623,2022,936
0022-2623,2023,1014
0022-2631,2019,47
0022-2631,2020,53
0022-2631,2021,52
0022-2631,2022,66
0022-2631,2023,24
0022-2720,2019,78
0022-2720,2020,129
0022-2720,2021,94
0022-2720,2022,85
0022-2720,2023,92
0022-278X,2019,74
0022-278X,2020,70
0022-278X,2021,43
0022-278X,2022,52
0022-278X,2023,57
0022-2828,2019,233
0022-2828,2020,327
0022-2828,2021,157
0022-2828,2022,168
0022-2828,2023,112
0022-2836,2019,366
0022-2836,2020,450
0022-2836,2021,395
0022-2836,2022,403
0022-2836,2023,305
0022-2844,2019,45
0022-2844,2020,53
0022-2844,2021,61
0022-2844,2022,45
0022-2844,2023,65
0022-2852,2019,106
0022-2852,2020,87
0022-2852,2021,88
0022-2852,2022,96
0022-2852,2023,78
0022-2860,2019,1452
0022-2860,2020,1785
0022-2860,2021,2062
0022-2860,2022,2404
0022-2860,2023,2300
0022-2879,2019,64
0022-2879,2020,26
0022-2879,2021,121
0022-2879,2022,83
0022-2879,2023,100
0022-2895,2019,79
0022-2895,2020,66
0022-2895,2021,56
0022-2895,2022,40
0022-2895,2023,57
0022-2917,2019,21
0022-2917,2020,26
0022-2917,2021,21
0022-2917,2022,17
0022-2917,2023,32
0022-2933,2019,161
0022-2933,2020,153
0022-2933,2021,153
0022-2933,2022,89
0022-2933,2023,90
0022-3018,2019,186
0022-3018,2020,180
0022-3018,2021,177
0022-3018,2022,137
0022-3018,2023,142
0022-3042,2019,257
0022-3042,2020,299
0022-3042,2021,258
0022-3042,2022,145
0022-3042,2023,269
0022-3050,2019,702
0022-3050,2020,357
0022-3050,2021,285
0022-3050,2022,953
0022-3050,2023,232
0022-3069,2019,140
0022-3069,2020,155
0022-3069,2021,137
0022-3069,2022,136
0022-3069,2023,118
0022-3077,2019,406
0022-3077,2020,361
0022-3077,2021,349
0022-3077,2022,268
0022-3077,2023,253
0022-3093,2019,542
0022-3093,2020,490
0022-3093,2021,568
0022-3093,2022,572
0022-3093,2023,544
0022-3115,2019,558
0022-3115,2020,558
0022-3115,2021,641
0022-3115,2022,627
0022-3115,2023,526
0022-3131,2019,149
0022-3131,2020,130
0022-3131,2021,129
0022-3131,2022,124
0022-3131,2023,150
0022-314X,2019,242
0022-314X,2020,237
0022-314X,2021,205
0022-314X,2022,260
0022-314X,2023,174
0022-3166,2019,345
0022-3166,2020,470
0022-3166,2021,516
0022-3166,2022,399
0022-3166,2023,376
0022-3239,2019,162
0022-3239,2020,162
0022-3239,2021,186
0022-3239,2022,173
0022-3239,2023,202
0022-3263,2019,1717
0022-3263,2020,1529
0022-3263,2021,1663
0022-3263,2022,1661
0022-3263,2023,1705
0022-328X,2019,440
0022-328X,2020,379
0022-328X,2021,300
0022-328X,2022,229
0022-328X,2023,240
0022-3344,2019,75
0022-3344,2020,45
0022-3344,2021,47
0022-3344,2022,60
0022-3344,2023,38
0022-3360,2019,113
0022-3360,2020,108
0022-3360,2021,113
0022-3360,2022,94
0022-3360,2023,83
0022-3417,2019,157
0022-3417,2020,146
0022-3417,2021,135
0022-3417,2022,132
0022-3417,2023,142
0022-3433,2019,67
0022-3433,2020,96
0022-3433,2021,62
0022-3433,2022,92
0022-3433,2023,86
0022-3468,2019,532
0022-3468,2020,575
0022-3468,2021,499
0022-3468,2022,532
0022-3468,2023,476
0022-3476,2019,806
0022-3476,2020,846
0022-3476,2021,900
0022-3476,2022,684
0022-3476,2023,541
0022-3484,2019,80
0022-3484,2020,100
0022-3484,2021,110
0022-3484,2022,107
0022-3484,2023,126
0022-3492,2019,167
0022-3492,2020,203
0022-3492,2021,145
0022-3492,2022,147
0022-3492,2023,138
0022-3506,2019,80
0022-3506,2020,71
0022-3506,2021,76
0022-3506,2022,98
0022-3506,2023,107
0022-3514,2019,232
0022-3514,2020,237
0022-3514,2021,217
0022-3514,2022,223
0022-3514,2023,211
0022-3530,2019,77
0022-3530,2020,95
0022-3530,2021,103
0022-3530,2022,129
0022-3530,2023,93
0022-3549,2019,443
0022-3549,2020,403
0022-3549,2021,430
0022-3549,2022,359
0022-3549,2023,341
0022-3573,2019,146
0022-3573,2020,143
0022-3573,2021,216
0022-3573,2022,103
0022-3573,2023,124
0022-3611,2019,40
0022-3611,2020,38
0022-3611,2021,59
0022-3611,2022,49
0022-3611,2023,41
0022-3646,2019,124
0022-3646,2020,155
0022-3646,2021,124
0022-3646,2022,65
0022-3646,2023,109
0022-3670,2019,175
0022-3670,2020,198
0022-3670,2021,208
0022-3670,2022,183
0022-3670,2023,164
0022-3697,2019,468
0022-3697,2020,424
0022-3697,2021,532
0022-3697,2022,632
0022-3697,2023,518
0022-3727,2019,1045
0022-3727,2020,1179
0022-3727,2021,1263
0022-3727,2022,923
0022-3727,2023,815
0022-3751,2019,458
0022-3751,2020,575
0022-3751,2021,388
0022-3751,2022,442
0022-3751,2023,465
0022-3778,2019,96
0022-3778,2020,152
0022-3778,2021,143
0022-3778,2022,127
0022-3778,2023,146
0022-3840,2019,110
0022-3840,2020,104
0022-3840,2021,100
0022-3840,2022,95
0022-3840,2023,99
0022-3891,2019,73
0022-3891,2020,61
0022-3891,2021,75
0022-3891,2022,81
0022-3891,2023,55
0022-3913,2019,322
0022-3913,2020,357
0022-3913,2021,387
0022-3913,2022,526
0022-3913,2023,651
0022-3956,2019,251
0022-3956,2020,313
0022-3956,2021,713
0022-3956,2022,643
0022-3956,2023,476
0022-3980,2019,42
0022-3980,2020,28
0022-3980,2021,37
0022-3980,2022,35
0022-3980,2023,30
0022-3999,2019,364
0022-3999,2020,307
0022-3999,2021,257
0022-3999,2022,309
0022-3999,2023,347
0022-4006,2019,43
0022-4006,2020,56
0022-4006,2021,47
0022-4006,2022,39
0022-4006,2023,42
0022-4049,2019,265
0022-4049,2020,250
0022-4049,2021,249
0022-4049,2022,258
0022-4049,2023,206
0022-4065,2019,76
0022-4065,2020,35
0022-4065,2021,44
0022-4065,2022,23
0022-4065,2023,38
0022-4073,2019,408
0022-4073,2020,514
0022-4073,2021,429
0022-4073,2022,290
0022-4073,2023,245
0022-4146,2019,50
0022-4146,2020,35
0022-4146,2021,54
0022-4146,2022,49
0022-4146,2023,43
0022-4197,2019,214
0022-4197,2020,153
0022-4197,2021,340
0022-4197,2022,253
0022-4197,2023,248
0022-4200,2020,15
0022-4200,2021,38
0022-4200,2022,58
0022-4200,2023,39
0022-4227,2019,69
0022-4227,2020,71
0022-4227,2021,96
0022-4227,2022,103
0022-4227,2023,106
0022-4278,2019,25
0022-4278,2020,19
0022-4278,2021,20
0022-4278,2022,39
0022-4278,2023,21
0022-4294,2019,31
0022-4294,2020,44
0022-4294,2021,38
0022-4294,2022,22
0022-4294,2023,34
0022-4308,2019,69
0022-4308,2020,52
0022-4308,2021,55
0022-4308,2022,92
0022-4308,2023,68
0022-4359,2019,44
0022-4359,2020,50
0022-4359,2021,58
0022-4359,2022,55
0022-4359,2023,50
0022-4367,2019,30
0022-4367,2020,25
0022-4367,2021,31
0022-4367,2022,41
0022-4367,2023,39
0022-4375,2019,108
0022-4375,2020,130
0022-4375,2021,134
0022-4375,2022,164
0022-4375,2023,171
0022-4391,2019,125
0022-4391,2020,111
0022-4391,2021,131
0022-4391,2022,146
0022-4391,2023,115
0022-4405,2019,66
0022-4405,2020,35
0022-4405,2021,50
0022-4405,2022,66
0022-4405,2023,55
0022-4480,2019,57
0022-4480,2020,51
0022-4480,2021,45
0022-4480,2022,46
0022-4480,2023,52
0022-4499,2019,103
0022-4499,2020,91
0022-4499,2021,112
0022-4499,2022,133
0022-4499,2023,127
0022-4510,2019,110
0022-4510,2020,168
0022-4510,2021,173
0022-4510,2022,106
0022-4510,2023,96
0022-4529,2019,106
0022-4529,2020,92
0022-4529,2021,86
0022-4529,2022,66
0022-4529,2023,84
0022-4537,2019,60
0022-4537,2020,44
0022-4537,2021,80
0022-4537,2022,75
0022-4537,2023,17
0022-4545,2019,61
0022-4545,2020,50
0022-4545,2021,81
0022-4545,2022,83
0022-4545,2023,41
0022-4596,2019,637
0022-4596,2020,621
0022-4596,2021,753
0022-4596,2022,893
0022-4596,2023,596
0022-460X,2019,600
0022-460X,2020,510
0022-460X,2021,528
0022-460X,2022,514
0022-460X,2023,433
0022-4634,2019,64
0022-4634,2020,73
0022-4634,2021,97
0022-4634,2022,89
0022-4634,2023,75
0022-4669,2019,23
0022-4669,2020,26
0022-4669,2021,18
0022-4669,2022,17
0022-4669,2023,24
0022-4715,2019,251
0022-4715,2020,203
0022-4715,2021,186
0022-4715,2022,178
0022-4715,2023,168
0022-474X,2019,110
0022-474X,2020,162
0022-474X,2021,120
0022-474X,2022,107
0022-474X,2023,133
0022-4766,2019,233
0022-4766,2020,222
0022-4766,2021,216
0022-4766,2022,187
0022-4766,2023,194
0022-4790,2019,378
0022-4790,2020,460
0022-4790,2021,407
0022-4790,2022,350
0022-4790,2023,359
0022-4804,2019,664
0022-4804,2020,722
0022-4804,2021,805
0022-4804,2022,599
0022-4804,2023,668
0022-4812,2019,112
0022-4812,2020,92
0022-4812,2021,107
0022-4812,2022,96
0022-4812,2023,99
0022-4871,2019,35
0022-4871,2020,45
0022-4871,2021,30
0022-4871,2022,35
0022-4871,2023,57
0022-4901,2019,85
0022-4901,2020,69
0022-4901,2021,69
0022-4901,2022,76
0022-4901,2023,75
0022-4928,2019,211
0022-4928,2020,214
0022-4928,2021,234
0022-4928,2022,182
0022-4928,2023,159
0022-4995,2019,37
0022-4995,2020,18
0022-4995,2021,34
0022-4995,2022,30
0022-4995,2023,27
0022-5002,2019,76
0022-5002,2020,83
0022-5002,2021,59
0022-5002,2022,82
0022-5002,2023,72
0022-5010,2019,38
0022-5010,2020,35
0022-5010,2021,40
0022-5010,2022,34
0022-5010,2023,59
0022-5045,2019,62
0022-5045,2020,54
0022-5045,2021,54
0022-5045,2022,44
0022-5045,2023,91
0022-5061,2019,61
0022-5061,2020,45
0022-5061,2021,95
0022-5061,2022,67
0022-5061,2023,47
0022-5096,2019,296
0022-5096,2020,316
0022-5096,2021,266
0022-5096,2022,262
0022-5096,2023,281
0022-510X,2019,2265
0022-510X,2020,560
0022-510X,2021,2689
0022-510X,2022,334
0022-510X,2023,2184
0022-5142,2019,673
0022-5142,2020,811
0022-5142,2021,693
0022-5142,2022,642
0022-5142,2023,798
0022-5185,2019,185
0022-5185,2020,156
0022-5185,2021,165
0022-5185,2022,132
0022-5185,2023,118
0022-5193,2019,366
0022-5193,2020,265
0022-5193,2021,267
0022-5193,2022,207
0022-5193,2023,193
0022-5223,2019,1393
0022-5223,2020,1461
0022-5223,2021,1378
0022-5223,2022,1426
0022-5223,2023,1147
0022-5266,2019,46
0022-5266,2020,46
0022-5266,2021,31
0022-5266,2022,47
0022-5266,2023,37
0022-5347,2019,1327
0022-5347,2020,2098
0022-5347,2021,1019
0022-5347,2022,862
0022-5347,2023,798
0022-5363,2019,50
0022-5363,2020,54
0022-5363,2021,79
0022-5363,2022,57
0022-5363,2023,50
0022-541X,2019,173
0022-541X,2020,159
0022-541X,2021,149
0022-541X,2022,186
0022-541X,2023,170
0022-6920,2019,122
0022-6920,2020,114
0022-6920,2021,154
0022-6920,2022,107
0022-6920,2023,129
0022-7498,2019,12
0022-7498,2020,11
0022-7498,2021,15
0022-7498,2022,13
0022-7498,2023,10
0022-8877,2019,53
0022-8877,2020,44
0022-8877,2021,49
0022-8877,2022,53
0022-8877,2023,57
0022-8958,2019,39
0022-8958,2020,42
0022-8958,2021,41
0022-8958,2022,61
0022-8958,2023,1
0023-0561,2019,88
0023-0561,2020,69
0023-0561,2021,73
0023-0561,2022,59
0023-0707,2019,24
0023-0707,2020,26
0023-0707,2021,26
0023-0707,2022,20
0023-0707,2023,19
0023-1584,2019,91
0023-1584,2020,83
0023-1584,2021,93
0023-1584,2022,83
0023-1584,2023,79
0023-1940,2019,30
0023-1940,2020,32
0023-1940,2021,26
0023-1940,2022,32
0023-1940,2023,40
0023-2165,2019,263
0023-2165,2020,246
0023-2165,2021,268
0023-2165,2022,258
0023-2165,2023,250
0023-2653,2019,44
0023-2653,2020,55
0023-2653,2021,52
0023-2653,2022,41
0023-2653,2023,43
0023-3609,2019,24
0023-3609,2020,27
0023-3609,2021,24
0023-3609,2022,19
0023-3609,2023,24
0023-5962,2019,23
0023-5962,2020,25
0023-5962,2021,24
0023-5962,2022,31
0023-5962,2023,43
0023-656X,2019,46
0023-656X,2020,37
0023-656X,2021,42
0023-656X,2022,59
0023-656X,2023,68
0023-6772,2019,68
0023-6772,2020,53
0023-6772,2021,78
0023-6772,2022,71
0023-6772,2023,70
0023-6837,2019,187
0023-6837,2020,173
0023-6837,2021,182
0023-6837,2022,176
0023-6837,2023,160
0023-8309,2019,42
0023-8309,2020,40
0023-8309,2021,40
0023-8309,2022,44
0023-8309,2023,41
0023-8333,2019,39
0023-8333,2020,33
0023-8333,2021,29
0023-8333,2022,52
0023-8333,2023,22
0023-852X,2019,692
0023-852X,2020,823
0023-852X,2021,627
0023-852X,2022,491
0023-852X,2023,687
0023-9216,2019,72
0023-9216,2020,70
0023-9216,2021,53
0023-9216,2022,52
0023-9216,2023,58
0023-9690,2019,24
0023-9690,2020,58
0023-9690,2021,50
0023-9690,2022,52
0023-9690,2023,54
0023-9909,2019,26
0023-9909,2020,22
0023-9909,2021,23
0023-9909,2022,22
0023-9909,2023,17
0024-1164,2019,39
0024-1164,2020,42
0024-1164,2021,65
0024-1164,2022,35
0024-1164,2023,31
0024-2160,2019,81
0024-2160,2020,68
0024-2160,2021,69
0024-2160,2022,48
0024-2160,2023,50
0024-2667,2019,24
0024-2667,2020,25
0024-2667,2021,41
0024-2667,2022,23
0024-2667,2023,30
0024-2829,2019,50
0024-2829,2020,51
0024-2829,2021,54
0024-2829,2022,43
0024-2829,2023,59
0024-3205,2019,902
0024-3205,2020,1282
0024-3205,2021,1265
0024-3205,2022,835
0024-3205,2023,842
0024-3590,2019,200
0024-3590,2020,201
0024-3590,2021,237
0024-3590,2022,193
0024-3590,2023,185
0024-3639,2019,88
0024-3639,2020,78
0024-3639,2021,73
0024-3639,2022,70
0024-3639,2023,76
0024-3795,2019,399
0024-3795,2020,384
0024-3795,2021,410
0024-3795,2022,307
0024-3795,2023,307
0024-3841,2019,86
0024-3841,2020,104
0024-3841,2021,101
0024-3841,2022,106
0024-3841,2023,71
0024-4066,2019,214
0024-4066,2020,212
0024-4066,2021,197
0024-4066,2022,158
0024-4066,2023,176
0024-4074,2019,115
0024-4074,2020,105
0024-4074,2021,99
0024-4074,2022,64
0024-4074,2023,105
0024-4082,2019,165
0024-4082,2020,182
0024-4082,2021,126
0024-4082,2022,127
0024-4082,2023,199
0024-4201,2019,77
0024-4201,2020,78
0024-4201,2021,32
0024-4201,2022,24
0024-4201,2023,18
0024-4902,2019,34
0024-4902,2020,37
0024-4902,2021,32
0024-4902,2022,34
0024-4902,2023,40
0024-4937,2019,383
0024-4937,2020,443
0024-4937,2021,565
0024-4937,2022,300
0024-4937,2023,362
0024-6093,2019,78
0024-6093,2020,127
0024-6093,2021,97
0024-6093,2022,222
0024-6093,2023,190
0024-6107,2019,84
0024-6107,2020,114
0024-6107,2021,71
0024-6107,2022,191
0024-6107,2023,132
0024-6115,2019,72
0024-6115,2020,69
0024-6115,2021,18
0024-6115,2022,66
0024-6115,2023,67
0024-6301,2019,48
0024-6301,2020,57
0024-6301,2021,51
0024-6301,2022,66
0024-6301,2023,55
0024-8525,2019,196
0024-8525,2020,176
0024-8525,2021,155
0024-8525,2022,136
0024-8525,2023,138
0024-9297,2019,1016
0024-9297,2020,1143
0024-9297,2021,1090
0024-9297,2022,1077
0024-9297,2023,992
0024-9831,2019,106
0024-9831,2020,103
0024-9831,2021,101
0024-9831,2022,103
0024-9831,2023,91
0025-0279,2019,41
0025-0279,2020,31
0025-0279,2021,39
0025-0279,2022,63
0025-0279,2023,26
0025-0295,2019,31
0025-0295,2020,37
0025-0295,2021,26
0025-0295,2022,47
0025-0295,2023,28
0025-1003,2019,39
0025-1003,2020,35
0025-1003,2021,43
0025-1003,2022,25
0025-1003,2023,38
0025-1461,2019,66
0025-1461,2020,62
0025-1461,2021,73
0025-1461,2022,77
0025-1461,2023,71
0025-1534,2019,13
0025-1534,2020,23
0025-1534,2021,20
0025-1534,2022,13
0025-1534,2023,17
0025-1747,2019,257
0025-1747,2020,179
0025-1747,2021,114
0025-1747,2022,143
0025-1747,2023,224
0025-2514,2019,134
0025-2514,2020,104
0025-2514,2021,91
0025-2514,2022,78
0025-2514,2023,86
0025-2611,2019,75
0025-2611,2020,90
0025-2611,2021,86
0025-2611,2022,95
0025-2611,2023,76
0025-2921,2019,13
0025-2921,2020,19
0025-2921,2021,20
0025-2921,2022,17
0025-2921,2023,5
0025-3154,2019,113
0025-3154,2020,138
0025-3154,2021,125
0025-3154,2022,76
0025-3154,2023,98
0025-3162,2019,165
0025-3162,2020,179
0025-3162,2021,197
0025-3162,2022,152
0025-3162,2023,205
0025-3227,2019,161
0025-3227,2020,221
0025-3227,2021,192
0025-3227,2022,194
0025-3227,2023,146
0025-3235,2019,24
0025-3235,2020,21
0025-3235,2021,40
0025-3235,2022,45
0025-3235,2023,25
0025-326X,2019,796
0025-326X,2020,1051
0025-326X,2021,1180
0025-326X,2022,1103
0025-326X,2023,1273
0025-3359,2019,101
0025-3359,2020,98
0025-3359,2021,86
0025-3359,2022,76
0025-3359,2023,80
0025-5300,2019,184
0025-5300,2020,317
0025-5300,2021,169
0025-5300,2022,170
0025-5300,2023,187
0025-5408,2019,414
0025-5408,2020,315
0025-5408,2021,387
0025-5408,2022,378
0025-5408,2023,385
0025-5564,2019,118
0025-5564,2020,70
0025-5564,2021,62
0025-5564,2022,64
0025-5564,2023,79
0025-5572,2019,136
0025-5572,2020,129
0025-5572,2021,152
0025-5572,2022,161
0025-5572,2023,142
0025-5610,2019,100
0025-5610,2020,137
0025-5610,2021,145
0025-5610,2022,175
0025-5610,2023,120
0025-570X,2019,92
0025-570X,2020,70
0025-570X,2021,70
0025-570X,2022,76
0025-570X,2023,88
0025-5793,2019,56
0025-5793,2020,50
0025-5793,2021,36
0025-5793,2022,63
0025-5793,2023,51
0025-5831,2019,150
0025-5831,2020,165
0025-5831,2021,203
0025-5831,2022,232
0025-5831,2023,222
0025-584X,2019,120
0025-584X,2020,126
0025-584X,2021,110
0025-584X,2022,160
0025-584X,2023,313
0025-5858,2019,14
0025-5858,2020,16
0025-5858,2021,23
0025-5858,2022,10
0025-5858,2023,10
0025-5874,2019,227
0025-5874,2020,189
0025-5874,2021,255
0025-5874,2022,265
0025-5874,2023,232
0025-6196,2019,460
0025-6196,2020,503
0025-6196,2021,495
0025-6196,2022,384
0025-6196,2023,330
0025-6455,2019,177
0025-6455,2020,158
0025-6455,2021,180
0025-6455,2022,176
0025-6455,2023,114
0025-6544,2019,124
0025-6544,2020,160
0025-6544,2021,152
0025-6544,2022,177
0025-6544,2023,249
0025-7079,2019,230
0025-7079,2020,148
0025-7079,2021,159
0025-7079,2022,122
0025-7079,2023,134
0025-7125,2019,119
0025-7125,2020,113
0025-7125,2021,114
0025-7125,2022,126
0025-7125,2023,118
0025-7273,2019,68
0025-7273,2020,60
0025-7273,2021,38
0025-7273,2022,44
0025-7273,2023,25
0025-729X,2019,386
0025-729X,2020,401
0025-729X,2021,443
0025-729X,2022,391
0025-729X,2023,316
0025-7753,2019,324
0025-7753,2020,373
0025-7753,2021,471
0025-7753,2022,380
0025-7753,2023,332
0025-7931,2019,130
0025-7931,2020,134
0025-7931,2021,192
0025-7931,2022,109
0025-7931,2023,104
0025-8024,2019,56
0025-8024,2020,77
0025-8024,2021,89
0025-8024,2022,61
0025-8024,2023,51
0025-8172,2019,54
0025-8172,2020,88
0025-8172,2021,57
0025-8172,2022,65
0025-8172,2023,57
0026-0495,2019,153
0026-0495,2020,263
0026-0495,2021,389
0026-0495,2022,281
0026-0495,2023,233
0026-0673,2019,137
0026-0673,2020,141
0026-0673,2021,113
0026-0673,2022,125
0026-0673,2023,127
0026-0894,2019,175
0026-0894,2020,159
0026-0894,2021,168
0026-0894,2022,182
0026-0894,2023,200
0026-1068,2019,49
0026-1068,2020,55
0026-1068,2021,61
0026-1068,2022,57
0026-1068,2023,59
0026-1270,2019,30
0026-1270,2020,25
0026-1270,2021,19
0026-1270,2022,22
0026-1270,2023,20
0026-1335,2019,56
0026-1335,2020,44
0026-1335,2021,48
0026-1335,2022,42
0026-1335,2023,47
0026-1386,2019,40
0026-1386,2020,40
0026-1386,2021,44
0026-1386,2022,40
0026-1386,2023,33
0026-1394,2019,144
0026-1394,2020,227
0026-1394,2021,160
0026-1394,2022,176
0026-1394,2023,171
0026-1424,2019,16
0026-1424,2020,28
0026-1424,2021,33
0026-1424,2022,11
0026-1424,2023,24
0026-2617,2019,91
0026-2617,2020,85
0026-2617,2021,88
0026-2617,2022,83
0026-2617,2023,94
0026-265X,2019,905
0026-265X,2020,1232
0026-265X,2021,1162
0026-265X,2022,1140
0026-265X,2023,1284
0026-2692,2019,209
0026-2692,2020,173
0026-2692,2021,248
0026-2692,2022,224
0026-2692,2023,250
0026-2714,2019,320
0026-2714,2020,347
0026-2714,2021,344
0026-2714,2022,333
0026-2714,2023,316
0026-2862,2019,87
0026-2862,2020,110
0026-2862,2021,113
0026-2862,2022,136
0026-2862,2023,114
0026-3206,2019,91
0026-3206,2020,79
0026-3206,2021,93
0026-3206,2022,102
0026-3206,2023,71
0026-3672,2019,895
0026-3672,2020,603
0026-3672,2021,482
0026-3672,2022,483
0026-3672,2023,524
0026-4075,2019,332
0026-4075,2020,314
0026-4075,2021,633
0026-4075,2022,437
0026-4075,2023,371
0026-4326,2019,38
0026-4326,2020,43
0026-4326,2021,35
0026-4326,2022,20
0026-4326,2023,39
0026-4423,2019,87
0026-4423,2020,82
0026-4423,2021,115
0026-4423,2022,64
0026-4423,2023,89
0026-4598,2019,79
0026-4598,2020,89
0026-4598,2021,55
0026-4598,2022,72
0026-4598,2023,83
0026-461X,2019,82
0026-461X,2020,104
0026-461X,2021,97
0026-461X,2022,126
0026-461X,2023,90
0026-4695,2019,26
0026-4695,2020,32
0026-4695,2021,26
0026-4695,2022,28
0026-4695,2023,34
0026-7074,2019,81
0026-7074,2020,102
0026-7074,2021,59
0026-7074,2022,81
0026-7074,2023,61
0026-749X,2019,104
0026-749X,2020,68
0026-749X,2021,54
0026-749X,2022,74
0026-749X,2023,66
0026-7902,2019,54
0026-7902,2020,51
0026-7902,2021,50
0026-7902,2022,51
0026-7902,2023,51
